time_s,throughput_mbps,rssi_dbm,tx_mcs,tx_bitrate_mapped_mbps
0,,-36,7,325.0
1,14.7,-35,7,325.0
2,14.7,-34,7,325.0
3,8.39,-34,7,325.0
4,11.5,-35,7,325.0
5,11.6,-34,7,325.0
6,11.3,-33,7,325.0
7,11.4,-35,7,325.0
8,10.4,-34,7,325.0
9,10.4,-34,7,325.0
10,10.4,-36,6,292.6
11,8.28,-34,7,325.0
12,10.4,-35,7,325.0
13,8.80,-33,7,325.0
14,11.9,-34,7,325.0
15,9.31,-36,7,325.0
16,19.7,-35,7,325.0
17,9.80,-34,7,325.0
18,9.84,-35,7,325.0
19,9.84,-36,7,325.0
20,10.9,-36,7,325.0
21,9.84,-36,7,325.0
22,8.81,-34,7,325.0
23,10.4,-35,7,325.0
24,10.4,-36,7,325.0
25,9.31,-37,7,325.0
26,10.4,-34,7,325.0
27,10.9,-35,7,325.0
28,9.83,-35,7,325.0
29,10.4,-36,7,325.0
30,10.4,-34,7,325.0
31,5.18,-36,7,325.0
32,10.9,-35,7,325.0
33,9.84,-33,7,325.0
34,9.84,-35,7,325.0
35,10.4,-33,7,325.0
36,9.84,-33,7,325.0
37,10.9,-33,7,325.0
38,10.4,-33,7,325.0
39,10.4,-33,7,325.0
40,10.4,-28,7,325.0
41,9.31,-35,7,325.0
42,10.4,-35,7,325.0
43,10.4,-34,7,325.0
44,9.84,-33,7,325.0
45,9.84,-33,7,325.0
46,9.84,-33,7,325.0
47,9.33,-33,7,325.0
48,9.84,-34,7,325.0
49,9.84,-33,7,325.0
50,11.4,-35,7,325.0
51,10.4,-36,7,325.0
52,4.65,-36,7,325.0
53,10.4,-33,7,325.0
54,9.84,-34,7,325.0
55,10.4,-35,7,325.0
56,10.4,-34,7,325.0
57,8.28,-34,7,325.0
58,11.9,-35,7,325.0
59,9.33,-36,7,325.0
60,8.80,-34,7,325.0
