time_s,throughput_mbps,rssi_dbm,tx_mcs,tx_bitrate_mapped_mbps
0,,-29,7,325.0
1,6.29,-30,6,292.6
2,3.15,-31,7,292.5
3,5.24,-31,7,325.0
4,3.87,-30,7,292.5
5,4.66,-30,6,263.3
6,5.19,-30,7,292.5
7,1.54,-30,7,325.0
8,6.23,-31,7,292.5
9,3.1,-31,6,263.3
10,3.63,-29,7,292.5
11,3.11,-29,6,292.6
12,3.11,-31,7,325.0
13,3.63,-29,7,325.0
14,3.11,-29,7,292.5
15,3.63,-30,7,292.5
16,3.63,-30,6,292.6
17,3.11,-30,6,292.6
18,3.63,-31,6,292.6
19,3.11,-31,5,234.0
20,3.63,-30,6,263.3
21,3.11,-30,7,325.0
22,3.11,-29,5,234.0
23,3.63,-30,7,292.5
24,3.11,-30,6,292.6
25,3.63,-30,7,325.0
26,3.11,-31,5,260.0
27,3.11,-31,6,292.6
28,2.07,-29,6,292.6
29,3.11,-30,7,325.0
30,3.63,-31,7,325.0
31,3.11,-30,7,325.0
32,3.63,-30,7,292.5
33,3.63,-30,7,325.0
34,3.11,-30,7,325.0
35,3.63,-30,6,263.3
36,3.63,-29,7,292.5
37,3.11,-30,5,260.0
38,3.63,-30,6,292.6
39,3.11,-31,4,195.0
40,3.63,-30,7,292.5
41,3.11,-30,7,325.0
42,3.11,-31,5,260.0
43,3.11,-30,6,292.6
44,3.63,-31,7,325.0
45,3.11,-30,5,260.0
46,3.63,-30,7,292.5
47,3.11,-30,7,325.0
48,3.11,-31,6,263.3
49,2.07,-31,6,292.6
50,3.11,-31,4,175.5
51,3.63,-29,7,325.0
52,3.11,-30,7,325.0
53,3.11,-31,7,292.5
54,3.11,-31,5,260.0
55,3.63,-30,6,263.3
56,3.11,-29,7,325.0
57,3.11,-29,6,292.6
58,3.63,-31,6,263.3
59,3.11,-31,7,292.5
60,3.63,-30,6,292.6
