ts,cpu_busy_pct,user_pct,sys_pct,softirq_pct,irq_pct,iowait_pct,cpu0_busy_pct,cpu1_busy_pct,cpu2_busy_pct,cpu3_busy_pct,mem_used_mb,mem_avail_mb,cached_mb,slab_mb
2026-09-09 17:44:23,15.78,5.98,8.24,1.55,0.00,0.00,19.75,16.58,10.96,16.09,2302.0,5756.4,3243.7,217.0
2026-09-09 17:44:33,17.43,5.54,10.67,1.21,0.00,0.00,24.04,15.96,12.90,17.26,2300.4,5758.0,3244.0,217.0
2026-09-09 17:44:43,11.86,5.98,5.16,0.72,0.00,0.00,13.87,10.65,11.78,11.52,2312.2,5746.2,3244.1,216.9
2026-09-09 17:44:53,10.25,4.85,4.90,0.49,0.00,0.00,11.45,11.09,8.60,9.95,2303.5,5754.9,3244.0,216.9
2026-09-09 17:45:03,11.05,5.42,5.01,0.62,0.00,0.00,11.89,12.22,9.03,11.17,2325.6,5732.8,3243.7,216.9
2026-09-09 17:45:13,10.65,5.47,4.56,0.62,0.00,0.00,12.47,10.12,9.47,10.72,2309.2,5749.2,3244.0,216.9
2026-09-09 17:45:23,16.84,12.00,4.22,0.59,0.00,0.03,17.92,18.27,15.24,16.04,2308.2,5750.2,3243.5,216.9
2026-09-09 17:45:33,18.46,13.41,4.59,0.46,0.00,0.00,20.80,16.04,18.48,18.71,2309.8,5748.5,3243.7,216.9
2026-09-09 17:45:43,18.71,12.91,5.17,0.62,0.00,0.00,19.86,18.91,17.47,18.71,2318.4,5740.0,3244.2,216.9
2026-09-09 17:45:53,17.20,11.11,5.28,0.80,0.00,0.00,18.52,15.56,13.60,21.25,2353.5,5704.9,3243.8,216.9
2026-09-09 17:46:03,13.25,7.33,5.40,0.52,0.00,0.00,14.99,13.61,11.26,13.38,2355.4,5703.0,3244.6,216.9
2026-09-09 17:46:13,16.79,11.33,4.76,0.67,0.00,0.03,19.58,16.93,15.36,15.49,2348.9,5709.5,3244.2,216.9
2026-09-09 17:46:23,17.07,10.69,5.58,0.80,0.00,0.00,22.58,15.68,13.87,16.58,2353.2,5705.2,3243.6,216.9
2026-09-09 17:46:33,16.28,3.26,11.89,1.13,0.00,0.00,15.43,13.76,15.12,20.69,2300.6,5757.8,3235.1,217.0
2026-09-09 17:46:43,11.08,0.70,8.50,1.87,0.00,0.00,10.01,14.82,5.41,14.11,2293.1,5765.3,3235.1,217.0
2026-09-09 17:46:53,9.90,0.65,7.77,1.48,0.00,0.00,13.04,10.28,4.18,12.37,2290.4,5768.0,3235.1,217.0
2026-09-09 17:47:03,10.94,1.09,7.93,1.92,0.00,0.00,14.06,12.40,6.38,11.28,2315.1,5743.3,3235.1,217.0
2026-09-09 17:47:13,10.92,0.62,8.41,1.89,0.00,0.00,9.95,13.57,5.79,14.13,2295.7,5762.7,3235.1,217.0
2026-09-09 17:47:23,10.65,0.47,8.41,1.77,0.00,0.00,9.73,12.73,4.38,15.71,2294.8,5763.6,3235.1,217.0
2026-09-09 17:47:33,9.28,0.81,6.87,1.59,0.00,0.03,11.60,10.36,4.77,10.45,2290.2,5768.2,3235.1,217.0
2026-09-09 17:47:43,9.38,0.78,7.04,1.56,0.00,0.00,13.37,10.74,3.85,10.16,2293.7,5764.7,3235.1,217.0
2026-09-09 17:47:53,9.60,0.65,7.26,1.69,0.00,0.00,14.11,12.31,5.18,7.26,2291.9,5766.5,3235.1,217.0
