ts,elapsed_s,phase,pktlen,dl_mbps,dl_loss_pct,ul_mbps,ul_loss_pct,ul_jitter_ms,rssi_dbm,tx_failed,tx_retries,mem_avail_kb,slab_kb,chip_temp_c,plink,note
2026-09-09 07:51:53,0,0,1400,4.11,0.000,4.18,0.640,4.547,-37,23,42867,5944128,218448,64,1,
2026-09-09 07:56:53,304,1,800,3.11,0.000,3.15,0.200,2.912,-36,25,50031,5983792,218416,64,1,
2026-09-09 08:01:54,604,2,400,2.06,0.000,2.09,0.320,2.190,-37,29,58832,5943808,218336,57,1,
2026-09-09 08:06:55,905,3,200,1.52,0.000,1.54,0.160,1.651,-36,31,68845,5924560,218384,57,1,
2026-09-09 08:11:56,1206,4,100,1.20,0.000,1.23,0.160,1.112,-38,34,76996,5911584,218208,57,1,
2026-09-09 08:16:57,1507,5,MIX,2.79,0.000,2.45,4.567,7.006,-37,37,85703,5944528,218096,64,1,
2026-09-09 08:21:57,1808,6,1400,4.11,0.000,4.18,0.540,4.588,-35,40,91153,5975776,218240,64,1,
2026-09-09 08:26:58,2108,7,800,3.11,0.000,3.15,0.200,2.977,-36,41,99195,5983392,218384,64,1,
2026-09-09 08:31:59,2409,8,400,2.06,0.000,2.09,0.290,2.220,-36,44,108574,5958240,218416,57,1,
2026-09-09 08:37:00,2710,9,200,1.52,0.000,1.54,0.180,1.594,-37,45,118344,5978080,218432,57,1,
2026-09-09 08:42:00,3011,10,100,1.20,0.000,1.23,0.160,1.147,-37,48,127906,5979840,218432,57,1,
2026-09-09 08:47:01,3311,11,MIX,2.84,0.000,2.39,1.840,7.531,-35,49,136701,5936288,218528,64,1,
2026-09-09 08:52:02,3612,12,1400,4.11,0.000,4.15,0.600,4.511,-37,53,141681,5947664,218384,64,1,
2026-09-09 08:57:03,3913,13,800,3.11,0.000,3.15,0.210,3.095,-36,54,149821,5938576,218400,64,1,
2026-09-09 09:02:03,4214,14,400,2.08,0.000,2.09,0.210,2.160,-37,56,159122,5939408,218304,57,1,
2026-09-09 09:07:04,4514,15,200,1.51,0.000,1.54,0.240,1.631,-40,59,169281,5929648,218320,57,1,
2026-09-09 09:12:05,4815,16,100,1.21,0.000,1.23,0.130,1.129,-36,61,178569,5959776,218320,57,1,
2026-09-09 09:17:06,5116,17,MIX,2.82,0.000,2.47,1.843,8.797,-38,63,187679,5956656,218368,64,1,
2026-09-09 09:22:07,5417,18,1400,4.13,0.000,4.19,0.400,4.544,-35,65,192900,5959520,218336,64,1,
2026-09-09 09:27:08,5718,19,800,3.10,0.000,3.15,0.310,2.934,-36,68,199988,5963616,218480,64,1,
2026-09-09 09:32:08,6019,20,400,2.08,0.000,2.09,0.180,2.144,-38,71,209007,5959296,218672,64,1,
2026-09-09 09:37:09,6319,21,200,1.50,0.000,1.54,0.270,1.577,-36,75,218113,5960768,218512,57,1,
2026-09-09 09:42:10,6620,22,100,1.21,0.000,1.23,0.130,1.136,-37,77,227414,5963824,218496,57,1,
2026-09-09 09:47:11,6921,23,MIX,2.83,0.000,2.44,1.890,7.083,-41,80,236704,5964816,218432,64,1,
2026-09-09 09:52:12,7222,24,1400,4.14,0.000,4.18,0.490,4.551,-38,82,242355,5962256,218320,64,1,
2026-09-09 09:57:12,7523,25,800,3.09,0.000,3.15,0.330,3.100,-36,85,250602,5945712,218304,64,1,
2026-09-09 10:02:13,7823,26,400,2.08,0.000,2.09,0.170,2.212,-38,87,260305,5946080,218544,57,1,
2026-09-09 10:07:14,8124,27,200,1.50,0.000,1.54,0.260,1.598,-36,90,269761,5945248,218560,57,1,
2026-09-09 10:12:14,8425,28,100,1.21,0.000,1.23,0.097,1.119,-37,92,278524,5968736,218576,57,1,
2026-09-09 10:17:16,8725,29,MIX,2.81,0.000,2.46,1.433,8.888,-36,95,286622,5959952,218448,64,1,
2026-09-09 10:22:17,9027,30,1400,4.14,0.000,4.19,0.450,4.532,-36,97,292448,5965120,218592,64,1,
