ts,tput_mbps,cpu02,ram02,sig02,mcs02,cpu01,ram01,sig01,mcs01
1788960072,,14,195,-28,6,8,181,-28,7
1788960083,11.32,14,197,-29,7,7,184,-28,7
1788960094,9.75,15,198,-30,7,2,183,-26,7
1788960105,8.81,14,199,-30,7,3,182,-27,7
1788960116,10.07,17,198,-29,7,3,184,-28,7
1788960126,8.91,24,197,-31,7,3,182,-28,7
1788960137,9.86,18,197,-30,7,2,182,-30,7
1788960148,9.02,16,198,-29,7,5,181,-27,7
1788960159,8.91,16,196,-29,7,3,182,-29,7
1788960170,10.07,14,200,-28,7,2,183,-29,7
1788960181,9.12,16,197,-29,7,10,184,-24,7
1788960192,9.12,13,196,-29,7,5,184,-28,7
1788960202,9.23,15,196,-31,7,3,184,-28,7
1788960213,10.28,14,201,-31,7,2,183,-28,7
1788960224,9.12,14,198,-31,7,3,183,-29,7
1788960235,7.86,15,196,-29,7,2,184,-28,7
1788960245,10.07,20,201,-31,7,3,185,-29,7
1788960256,8.18,18,198,-29,7,2,185,-30,7
1788960266,9.23,18,201,-30,7,3,185,-30,7
1788960276,9.12,18,199,-29,7,3,186,-29,7
1788960287,9.12,18,198,-30,7,3,185,-28,7
1788960297,8.91,15,198,-30,7,4,185,-29,7
1788960307,9.23,18,200,-27,7,2,184,-28,7
1788960318,9.02,15,197,-29,7,2,183,-29,7
1788960328,9.12,17,201,-30,7,4,186,-30,7
1788960339,8.39,18,201,-29,7,6,187,-28,7
1788960349,9.02,18,199,-30,7,9,186,-28,6
1788960359,10.17,15,198,-29,7,10,187,-27,7
1788960370,9.02,17,199,-30,7,10,187,-29,7
1788960380,9.12,15,198,-30,7,11,183,-28,7
1788960390,9.02,15,197,-30,7,10,185,-27,7
1788960401,10.17,15,200,-29,7,12,185,-28,7
1788960411,9.12,13,197,-27,7,11,184,-29,7
1788960421,9.23,13,202,-30,7,11,184,-28,7
1788960432,9.33,15,198,-29,7,11,182,-29,7
1788960442,8.91,13,199,-29,7,10,185,-29,7
1788960453,10.07,13,201,-24,7,10,183,-29,7
1788960463,9.12,14,199,-29,7,11,184,-28,7
1788960473,9.12,15,199,-29,7,10,186,-29,7
1788960484,10.17,15,202,-29,7,12,186,-29,7
1788960494,8.91,16,199,-29,7,9,184,-27,7
1788960504,9.12,15,198,-30,7,6,182,-28,7
1788960515,9.02,14,202,-30,7,6,185,-30,7
1788960525,10.17,14,202,-29,7,8,185,-28,7
1788960535,9.12,14,201,-29,7,5,183,-28,7
1788960546,9.23,14,200,-29,7,6,184,-30,7
1788960556,9.44,15,200,-30,7,7,183,-29,7
1788960567,9.33,13,199,-29,7,8,184,-30,7
1788960577,9.44,15,202,-31,7,6,185,-30,7
1788960587,9.44,14,199,-29,7,6,185,-29,7
1788960598,9.44,15,204,-29,7,6,184,-29,7
1788960608,9.33,13,199,-29,7,7,184,-28,7
1788960618,8.39,13,201,-29,7,6,182,-24,7
1788960629,9.33,15,201,-29,7,9,184,-27,7
1788960639,9.54,15,202,-30,7,6,183,-28,7
1788960650,9.33,14,200,-29,7,2,185,-28,7
1788960660,9.33,15,200,-29,7,3,187,-30,7
1788960670,9.44,15,202,-30,7,1,184,-29,7
1788960681,9.33,16,199,-29,7,3,184,-28,7
1788960691,8.28,15,203,-29,7,3,184,-26,7
1788960701,9.54,14,201,-30,7,3,185,-28,7
1788960712,9.44,15,200,-30,7,2,186,-28,7
1788960722,9.23,13,202,-29,7,2,183,-30,7
1788960733,9.44,14,198,-29,7,1,182,-29,7
1788960743,9.44,14,202,-29,7,3,183,-29,7
1788960753,9.33,12,201,-29,7,2,184,-29,7
1788960763,9.44,16,203,-29,7,3,183,-29,7
1788960774,9.44,17,201,-29,7,1,184,-28,7
1788960784,9.44,16,201,-29,7,4,183,-28,7
1788960795,9.44,16,201,-31,7,4,183,-28,7
1788960805,8.39,15,202,-30,7,2,183,-29,7
1788960815,9.44,14,202,-29,7,1,183,-28,7
1788960826,9.54,12,200,-29,7,4,183,-30,7
1788960836,9.44,14,200,-29,7,3,183,-27,7
1788960846,8.39,14,199,-29,7,3,182,-28,7
1788960857,9.54,16,204,-31,7,2,182,-28,7
1788960867,9.44,13,202,-31,7,2,183,-30,7
1788960878,9.33,13,202,-29,7,2,183,-28,7
1788960888,9.44,15,201,-31,7,1,181,-28,7
1788960898,9.33,15,198,-29,7,2,184,-30,6
1788960909,8.39,16,202,-28,7,2,183,-28,7
1788960919,9.44,15,202,-29,7,1,182,-29,7
1788960929,9.44,15,202,-30,7,2,184,-28,7
1788960940,9.44,14,203,-29,7,2,183,-28,7
1788960950,9.33,17,198,-31,7,1,184,-27,6
1788960961,9.33,16,203,-29,7,2,183,-30,7
1788960971,8.49,15,200,-29,7,3,183,-28,7
1788960981,9.44,17,201,-30,7,3,183,-28,7
1788960991,9.54,16,203,-30,7,2,183,-29,7
1788961002,9.65,16,201,-33,7,3,182,-28,7
